celltype_raw,celltype_id,sample,study,n_counts,n_genes,celltype_name,doublet_score,pred_dbl,Disease,query_group,query,method,rank,score,item_id
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058909,DS000011735,2969.734619140625,2055,alveolar macrophage,0.0060185836628079414,False,healthy,healthy::alveolar macrophage,IPF alveolar macrophage centroid,turboquant-prod-b4,10,0.9984509348869324,cell-13641
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058975,DS000011735,3659.360595703125,4577,alveolar macrophage,0.0042470404878258705,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,faiss-pq-m8-nbits8,1,1.0173242092132568,cell-19991
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058968,DS000011735,3826.435302734375,4186,alveolar macrophage,0.06127446889877319,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,faiss-pq-m8-nbits8,2,1.0152125358581543,cell-1754
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058969,DS000011735,3307.088623046875,2611,alveolar macrophage,0.022475715726614,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,faiss-pq-m8-nbits8,3,1.0146781206130981,cell-8870
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058944,DS000011735,2861.581298828125,1687,alveolar macrophage,0.030793188139796257,False,COPD,COPD::alveolar macrophage,IPF alveolar macrophage centroid,faiss-pq-m8-nbits8,4,1.0146015882492065,cell-34786
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058955,DS000011735,3728.751953125,5870,alveolar macrophage,0.01644459180533886,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,faiss-pq-m8-nbits8,5,1.0145875215530396,cell-43311
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058964,DS000011735,2941.04443359375,2141,alveolar macrophage,0.05239957198500633,False,IPF,IPF::alveolar macrophage,IPF alveolar macrophage centroid,faiss-pq-m8-nbits8,6,1.0141878128051758,cell-9201
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058914,DS000011735,4094.838623046875,4721,alveolar macrophage,0.07501716166734695,False,healthy,healthy::alveolar macrophage,IPF alveolar macrophage centroid,faiss-pq-m8-nbits8,7,1.0139416456222534,cell-5521
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058933,DS000011735,3295.559814453125,3449,alveolar macrophage,0.08461342006921768,False,COPD,COPD::alveolar macrophage,IPF alveolar macrophage centroid,faiss-pq-m8-nbits8,8,1.0138659477233887,cell-7743
Macrophage_Alveolar,CL:0000583,DS000011735-GSM4058906,DS000011735,3354.523193359375,2465,alveolar macrophage,0.06623110920190811,False,healthy,healthy::alveolar macrophage,IPF alveolar macrophage centroid,faiss-pq-m8-nbits8,9,1.0133233070373535,cell-1112
